"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"1","Dan.Jensen.cw","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 4:39:41 PM","60.513","0.017","n/a","3.61","6.547","4.266","n/a","1.046","30.516","Success","n/a","Wednesday","2017-11-15",4
"2","rramachandran0","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 4:55:13 PM","99.766","0.017","n/a","4.27","10","2.076","n/a","1.05","32.033","Success","n/a","Thursday","2017-11-16",4
"3","rramachandran0","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 3:40:26 PM","163.853","0.017","n/a","n/a","0","9.11","n/a","3.406","61.44","Success","n/a","Wednesday","2017-11-15",3
"4","rramachandran0","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 4:38:53 PM","104.305","0.017","n/a","17.89","10.422","3.35","n/a","0.983","30.193","Success","n/a","Monday","2017-11-20",4
"5","rramachandran0","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 3:11:31 PM","446.791","0.017","n/a","3.24","7.625","3.773","n/a","2.023","379.203","Success","n/a","Tuesday","2017-11-21",3
"6","rramachandran0","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 4:45:26 PM","79.627","0.017","n/a","5.376","9.407","6.736","n/a","1.06","31.263","Success","n/a","Friday","2017-11-17",4
"7","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 12:44:19 AM","79.912","0","n/a","2.77","17.719","9.696","n/a","1.063","26.92","Success","n/a","Friday","2017-11-17",12
"8","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 10:43:42 PM","189.428","0.016","n/a","3.703","15.437","10.826","n/a","5.243","81.436","Success","n/a","Friday","2017-11-17",10
"9","kszeto0","ADCF\FACAD3PDECX07P","SAS","11/16/2017 10:46:29 PM","68.03","0.015","n/a","2.936","7.125","1.386","n/a","0.786","23.83","Success","n/a","Thursday","2017-11-16",10
"10","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 4:58:59 PM","127.655","0.017","n/a","8.42","10.797","2.306","n/a","1.153","31.39","Success","n/a","Friday","2017-11-17",4
"11","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 5:42:41 PM","80.065","0.03","n/a","4.72","8.766","3.63","n/a","1.846","31.313","Success","n/a","Wednesday","2017-11-15",5
"12","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 12:47:58 AM","131.641","0.017","n/a","2.683","13.578","9.576","n/a","1.063","34.07","Success","n/a","Wednesday","2017-11-15",12
"13","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 5:20:02 PM","184.729","0.017","n/a","n/a","0","4.016","n/a","1.15","41.926","Success","n/a","Tuesday","2017-11-21",5
"14","kszeto0","ADCF\FACAD3PDECX08P","SPSS","11/16/2017 6:52:15 PM","132.401","0","n/a","4.523","13.328","1.606","n/a","0.5","18.783","Success","n/a","Thursday","2017-11-16",6
"15","kszeto0","ADCF\FACAD3PDECX07P","SAS","11/16/2017 6:57:08 PM","83.046","0.016","n/a","3.473","15.844","6.08","n/a","0.39","29.426","Success","n/a","Thursday","2017-11-16",6
"16","kszeto0","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 5:03:53 PM","149.802","0","n/a","3.883","8.36","2.05","n/a","0.593","29.32","Success","n/a","Monday","2017-11-20",5
"17","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/17/2017 6:54:45 PM","71.716","0.016","n/a","5.203","7.516","1.313","n/a","0.483","24.09","Success","n/a","Friday","2017-11-17",6
"18","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/15/2017 6:39:57 PM","65.391","0.05","n/a","4.853","9.234","1.266","n/a","0.343","23.573","Success","n/a","Wednesday","2017-11-15",6
"19","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/16/2017 9:15:45 PM","80.476","0.017","n/a","4.98","9.266","1.346","n/a","0.143","20.533","Success","n/a","Thursday","2017-11-16",9
"20","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/16/2017 8:06:49 PM","78.425","0.016","n/a","5.053","9.235","1.353","n/a","0.22","26.813","Success","n/a","Thursday","2017-11-16",8
"21","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/17/2017 4:59:02 PM","69.819","0.017","n/a","5.16","8.469","1.33","n/a","0.306","26.813","Success","n/a","Friday","2017-11-17",4
"22","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 9:40:34 PM","111.393","0.017","n/a","4.25","11.157","5.083","n/a","1.066","56.023","Success","n/a","Monday","2017-11-20",9
"23","fhuante2","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 6:25:05 PM","79.105","0.017","n/a","4.75","8.515","2.403","n/a","0.7","20.453","Success","n/a","Tuesday","2017-11-21",6
"24","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/16/2017 5:27:46 PM","100.987","0.016","n/a","7.286","15.187","1.273","n/a","0.496","24.62","Success","n/a","Thursday","2017-11-16",5
"25","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/16/2017 9:54:11 PM","79.384","0.016","n/a","4.733","11.125","1.283","n/a","0.73","25.28","Success","n/a","Thursday","2017-11-16",9
"26","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/21/2017 5:32:20 PM","93.097","0.033","n/a","4.716","10.047","10.38","n/a","0.583","28.096","Success","n/a","Tuesday","2017-11-21",5
"27","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/16/2017 2:47:08 PM","54.877","0.14","n/a","3.346","6.625","1.313","n/a","0.596","21.686","Success","n/a","Thursday","2017-11-16",2
"28","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 5:03:55 PM","108.884","0.017","n/a","4.253","10.547","1.806","n/a","1.06","28.026","Success","n/a","Friday","2017-11-17",5
"29","fhuante2","ADCF\FACAD3PDECX08P","SPSS","11/17/2017 5:01:29 PM","68.192","0","n/a","4.866","7.671","1.196","n/a","0.796","22.713","Success","n/a","Friday","2017-11-17",5
"30","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/20/2017 9:39:05 PM","69.562","0.017","n/a","4.503","7.797","1.446","n/a","0.393","26.403","Success","n/a","Monday","2017-11-20",9
"31","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 9:30:58 PM","98.421","0","n/a","5.046","7.546","2.493","n/a","1.143","26.5","Success","n/a","Friday","2017-11-17",9
"32","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/17/2017 2:59:54 PM","90.734","0.016","n/a","5.253","8.031","1.42","n/a","0.656","24.076","Success","n/a","Friday","2017-11-17",2
"33","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 11:42:49 PM","73.339","0","n/a","4.32","16.703","4.156","n/a","0.72","28.783","Success","n/a","Thursday","2017-11-16",11
