Time,Published Application Name,Process Name,Version,Description,Machine Name
11/21/2017 9:37:09 AM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x34e8;Faulting application start time: 0x01d362e791dff370;Faulting application path: C:\windows\System32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 992beb08-cee2-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/21/2017 9:31:55 AM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0x40000015;Fault offset: 0x0000000000075a8b;Faulting process id: 0x2ac8;Faulting application start time: 0x01d362eaf51c31ca;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: de11588e-cee1-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/21/2017 8:48:30 AM,Unknown,EXCEL.EXE,15.0.4971.1000,Faulting application name: EXCEL.EXE; version: 15.0.4971.1000; time stamp: 0x59b780ef;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba8666;Exception code: 0x80000004;Fault offset: 0x0003c330;Faulting process id: 0x2640;Faulting application start time: 0x01d362e88f499a9e;Faulting application path: D:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: cd84e3e5-cedb-11e7-812b-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
11/21/2017 8:47:58 AM,Unknown,EXCEL.EXE,15.0.4971.1000,Faulting application name: EXCEL.EXE; version: 15.0.4971.1000; time stamp: 0x59b780ef;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x33a4;Faulting application start time: 0x01d362e87bef8c19;Faulting application path: D:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: ba28644b-cedb-11e7-812b-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
11/21/2017 8:41:09 AM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x6df4;Faulting application start time: 0x01d36257eb5a79f0;Faulting application path: C:\windows\System32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: c665f3c6-ceda-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/21/2017 6:08:33 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x4f2c;Faulting application start time: 0x01d362d236d4e5bf;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 750492e9-cec5-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/21/2017 4:19:32 AM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x4ee8;Faulting application start time: 0x01d3628cba567ce5;Faulting application path: C:\windows\System32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 3a518934-ceb6-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 9:51:02 PM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x4e90;Faulting application start time: 0x01d36257eac41285;Faulting application path: C:\windows\System32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: f475e8c6-ce7f-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 5:27:02 PM,Unknown,iexplore.exe,11.0.9600.18817,Faulting application name: iexplore.exe; version: 11.0.9600.18817; time stamp: 0x59b1994e;Faulting module name: IEFRAME.dll; version: 11.0.9600.18817; time stamp: 0x59b1a126;Exception code: 0xc0000005;Fault offset: 0x0000000000265f38;Faulting process id: 0x2c70;Faulting application start time: 0x01d3622d40ee351a;Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe;Faulting module path: C:\windows\SYSTEM32\IEFRAME.dll;Report Id: 1336b1d0-ce5b-11e7-812b-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
11/20/2017 3:33:01 PM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x7d0;Faulting application start time: 0x01d35f314612cff0;Faulting application path: C:\windows\system32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 2567e6be-ce4b-11e7-812b-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
11/20/2017 3:33:01 PM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x291c;Faulting application start time: 0x01d3601660f5b1ae;Faulting application path: C:\windows\System32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 2588ace4-ce4b-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
