Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 8:02:55 AM,Running,3:19
estewart7,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 7:08:17 AM,12/11/2017 10:50:18 AM,3:42
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 10:59:48 AM,12/7/2017 11:53:44 AM,0:53
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 4:13:31 PM,12/12/2017 5:17:21 PM,1:3
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 2:38:07 PM,12/11/2017 4:56:49 PM,2:18
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/13/2017 6:51:38 AM,12/13/2017 3:17:14 PM,8:25
jkegel0,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 5:12:04 AM,12/8/2017 2:15:17 PM,9:3
jkazman,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 4:40:46 AM,12/11/2017 1:28:05 PM,8:47
rramachandran0,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 11:24:46 AM,12/11/2017 4:44:41 PM,5:19
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 9:38:55 AM,12/12/2017 3:02:14 PM,5:23
myi12,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:57:54 AM,12/8/2017 12:51:36 PM,3:53
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 9:06:23 AM,12/12/2017 2:56:27 PM,5:50
supahm,ADCF\FACAD3PDECX07P,SAS,12/10/2017 11:21:32 PM,12/10/2017 11:29:48 PM,0:8
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 3:12:58 PM,12/11/2017 4:34:02 PM,1:21
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/10/2017 7:18:22 PM,12/10/2017 8:30:54 PM,1:12
estewart7,ADCF\FACAD3PDECX07P,SAS,12/7/2017 7:10:02 AM,12/7/2017 3:59:04 PM,8:49
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 11:09:52 AM,12/8/2017 1:32:45 PM,2:22
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 4:50:49 AM,12/9/2017 12:53:30 AM,20:2
wchiu0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 1:34:11 PM,12/11/2017 1:57:23 PM,0:23
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 8:52:39 AM,12/11/2017 4:59:11 PM,8:6
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/11/2017 6:07:45 AM,12/11/2017 2:01:53 PM,7:54
jfarag2,ADCF\FACAD3PDECX07P,SAS,12/8/2017 9:23:16 AM,12/8/2017 10:34:24 AM,1:11
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 7:11:04 AM,12/13/2017 6:16:36 AM,23:5
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/7/2017 7:42:09 AM,12/8/2017 9:37:13 AM,25:55
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 9:39:58 AM,12/8/2017 10:56:01 AM,1:16
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/12/2017 7:53:30 AM,12/12/2017 2:59:02 PM,7:5
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 7:53:13 AM,12/12/2017 2:58:59 PM,7:5
aallen13,ADCF\FACAD3PDECX07P,SAS,12/13/2017 11:11:52 AM,12/13/2017 4:11:15 PM,4:59
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/9/2017 2:31:34 PM,12/10/2017 9:13:23 PM,30:41
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 3:49:26 PM,12/12/2017 5:12:18 PM,1:22
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 7:53:57 AM,Running,3:28
estewart7,ADCF\FACAD3PDECX07P,SAS,12/14/2017 8:08:41 AM,Running,3:13
estewart7,ADCF\FACAD3PDECX07P,SAS,12/13/2017 11:14:52 AM,12/13/2017 4:45:10 PM,5:30
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 5:09:14 AM,12/8/2017 7:57:42 AM,2:48
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 10:32:35 AM,12/11/2017 2:02:41 PM,3:30
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 8:04:45 AM,12/7/2017 4:13:49 PM,8:9
supgde,ADCF\FACAD3PDECX07P,SAS,12/12/2017 3:19:03 PM,12/12/2017 3:19:50 PM,0:0
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:00:19 AM,12/8/2017 4:14:25 PM,8:14
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 8:08:38 AM,12/7/2017 3:05:55 PM,6:57
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 5:15:38 PM,12/11/2017 10:59:19 PM,5:43
mlindberg0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 11:26:42 AM,12/12/2017 3:29:10 PM,4:2
rramachandran0,ADCF\FACAD3PDECX07P,SAS,12/12/2017 7:58:37 AM,12/12/2017 11:45:21 AM,3:46
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 11:24:29 AM,12/8/2017 4:26:26 PM,5:1
jkazman,ADCF\FACAD3PDECX08P,SPSS,12/14/2017 7:12:09 AM,Running,4:10
mlessman0,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 10:47:02 AM,Running,0:35
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 4:05:59 PM,12/12/2017 5:56:35 PM,1:50
supgde,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 3:15:09 PM,12/12/2017 3:16:17 PM,0:1
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,12/9/2017 11:39:35 AM,12/9/2017 5:57:11 PM,6:17
supgde,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 3:19:23 PM,12/12/2017 3:19:57 PM,0:0
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 7:58:15 AM,12/7/2017 4:50:24 PM,8:52
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 10:14:31 AM,12/11/2017 11:32:00 AM,1:17
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/14/2017 4:46:00 AM,Running,6:36
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 1:19:30 PM,12/11/2017 1:40:16 PM,0:20
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/8/2017 7:58:27 AM,12/8/2017 4:13:43 PM,8:15
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 11:02:51 AM,12/7/2017 12:50:17 PM,1:47
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/11/2017 7:55:08 AM,12/11/2017 10:50:17 AM,2:55
