Time,Published Application Name,Process Name,Version,Description,Machine Name
1/4/2018 10:58:45 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x80a0;Faulting application start time: 0x01d3858e0b80f343;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 49c78892-f181-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/4/2018 10:58:21 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x4000001e;Fault offset: 0x0001558b;Faulting process id: 0x25c8;Faulting application start time: 0x01d3858dfc4e1f91;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 3af06bac-f181-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/4/2018 10:22:23 AM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0x40000015;Fault offset: 0x0000000000075a8b;Faulting process id: 0x6664;Faulting application start time: 0x01d3857fd3ebec25;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: 34d03f1b-f17c-11e7-8146-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
1/4/2018 9:23:39 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x4000001e;Fault offset: 0x0001558b;Faulting process id: 0x4d08;Faulting application start time: 0x01d38580c1c870fb;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 006eb1b3-f174-11e7-812e-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
1/4/2018 9:03:08 AM,Unknown,acevents.exe,5.1.0.95,Faulting application name: acevents.exe; version: 5.1.0.95; time stamp: 0x5784fb36;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000005;Fault offset: 0x000000000003b6b9;Faulting process id: 0x4730;Faulting application start time: 0x01d3857de48ff61c;Faulting application path: C:\Program Files\HID Global\ActivClient\acevents.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 22f6dd46-f171-11e7-8146-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
1/4/2018 8:42:12 AM,Unknown,Win7LookAndFeelStartupApp.exe,1.0.0.0,Faulting application name: Win7LookAndFeelStartupApp.exe; version: 1.0.0.0; time stamp: 0x597922f7;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x8d50;Faulting application start time: 0x01d3857af76fb036;Faulting application path: C:\Program Files\Citrix\EnhancedDesktopExperience\Win7LookAndFeelStartupApp.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 362ead33-f16e-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/4/2018 4:50:22 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x73c8;Faulting application start time: 0x01d3855a94ca97ca;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: d30aeef7-f14d-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/3/2018 7:57:50 PM,Unknown,winlogon.exe,6.3.9600.18188,Faulting application name: winlogon.exe; version: 6.3.9600.18188; time stamp: 0x568bda97;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000008;Fault offset: 0x000000000009261a;Faulting process id: 0x3cec;Faulting application start time: 0x01d384ac05de19e4;Faulting application path: C:\windows\system32\winlogon.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 6e4d97f2-f103-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/3/2018 3:13:50 PM,Unknown,Toad.exe,12.8.0.49,Faulting application name: Toad.exe; version: 12.8.0.49; time stamp: 0x56145048;Faulting module name: unknown; version: 0.0.0.0; time stamp: 0x00000000;Exception code: 0xc0000005;Fault offset: 0x000000000e6d10e0;Faulting process id: 0x38f0;Faulting application start time: 0x01d384d6aefd337e;Faulting application path: D:\Program Files\Dell\Toad for Oracle 2015 R2 Suite\Toad for Oracle 12.8\Toad.exe;Faulting module path: unknown;Report Id: c1802f70-f0db-11e7-8146-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
1/3/2018 3:00:24 PM,Unknown,iexplore.exe,11.0.9600.18817,Faulting application name: iexplore.exe; version: 11.0.9600.18817; time stamp: 0x59b1994e;Faulting module name: IEFRAME.dll; version: 11.0.9600.18860; time stamp: 0x5a0a58f2;Exception code: 0xc0000005;Fault offset: 0x00000000002691ef;Faulting process id: 0xa48c;Faulting application start time: 0x01d384a261d66e47;Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe;Faulting module path: C:\windows\SYSTEM32\IEFRAME.dll;Report Id: e111dae2-f0d9-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
1/3/2018 9:49:01 AM,Unknown,EXCEL.EXE,15.0.4989.1000,Faulting application name: EXCEL.EXE; version: 15.0.4989.1000; time stamp: 0x5a0bec4b;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x1590;Faulting application start time: 0x01d384bb23073076;Faulting application path: D:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 614ab89d-f0ae-11e7-8135-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
